State,Wikipedia_Link
Alabama,https://en.wikipedia.org/wiki/Alabama
Alaska,https://en.wikipedia.org/wiki/Alaska
Arizona,https://en.wikipedia.org/wiki/Arizona
Arkansas,https://en.wikipedia.org/wiki/Arkansas
California,https://en.wikipedia.org/wiki/California
Colorado,https://en.wikipedia.org/wiki/Colorado
Connecticut,https://en.wikipedia.org/wiki/Connecticut
Delaware,https://en.wikipedia.org/wiki/Delaware
Florida,https://en.wikipedia.org/wiki/Florida
Georgia,https://en.wikipedia.org/wiki/Georgia_(U.S._state)
Hawaii,https://en.wikipedia.org/wiki/Hawaii
Idaho,https://en.wikipedia.org/wiki/Idaho
Illinois,https://en.wikipedia.org/wiki/Illinois
Indiana,https://en.wikipedia.org/wiki/Indiana
Iowa,https://en.wikipedia.org/wiki/Iowa
Kansas,https://en.wikipedia.org/wiki/Kansas
Kentucky,https://en.wikipedia.org/wiki/Kentucky
Louisiana,https://en.wikipedia.org/wiki/Louisiana
Maine,https://en.wikipedia.org/wiki/Maine
Maryland,https://en.wikipedia.org/wiki/Maryland
Massachusetts,https://en.wikipedia.org/wiki/Massachusetts
Michigan,https://en.wikipedia.org/wiki/Michigan
Minnesota,https://en.wikipedia.org/wiki/Minnesota
Mississippi,https://en.wikipedia.org/wiki/Mississippi
Missouri,https://en.wikipedia.org/wiki/Missouri
Montana,https://en.wikipedia.org/wiki/Montana
Nebraska,https://en.wikipedia.org/wiki/Nebraska
Nevada,https://en.wikipedia.org/wiki/Nevada
New Hampshire,https://en.wikipedia.org/wiki/New_Hampshire
New Jersey,https://en.wikipedia.org/wiki/New_Jersey
New Mexico,https://en.wikipedia.org/wiki/New_Mexico
New York,https://en.wikipedia.org/wiki/New_York_(state)
North Carolina,https://en.wikipedia.org/wiki/North_Carolina
North Dakota,https://en.wikipedia.org/wiki/North_Dakota
Ohio,https://en.wikipedia.org/wiki/Ohio
Oklahoma,https://en.wikipedia.org/wiki/Oklahoma
Oregon,https://en.wikipedia.org/wiki/Oregon
Pennsylvania,https://en.wikipedia.org/wiki/Pennsylvania
Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island
South Carolina,https://en.wikipedia.org/wiki/South_Carolina
South Dakota,https://en.wikipedia.org/wiki/South_Dakota
Tennessee,https://en.wikipedia.org/wiki/Tennessee
Texas,https://en.wikipedia.org/wiki/Texas
Utah,https://en.wikipedia.org/wiki/Utah
Vermont,https://en.wikipedia.org/wiki/Vermont
Virginia,https://en.wikipedia.org/wiki/Virginia
Washington,https://en.wikipedia.org/wiki/Washington_(state)
West Virginia,https://en.wikipedia.org/wiki/West_Virginia
Wisconsin,https://en.wikipedia.org/wiki/Wisconsin
Wyoming,https://en.wikipedia.org/wiki/Wyoming